"cluster","mean_OSA","mean_Control","sd_OSA","sd_Control","p_value","significant"
"13",0.464934892513752,0.64599357386504,0.19702852832679,0.253993312503894,0.0758910851790109,FALSE
"0",22.9648991036718,26.2809945502445,7.11150614671201,7.87456591974635,0.193186586375441,FALSE
"1",13.6314510104769,11.4599663314529,4.3279034269475,2.84662799516472,0.299986391317661,FALSE
"3",9.32931860303188,8.400293623678,2.28031334626772,2.21074970242513,0.331649258893841,FALSE
"16",0.146473550381872,0.112211370697994,0.0672250577540942,0.0574067601286105,0.331649258893841,FALSE
"14",0.33669393723531,0.426506913592976,0.25063741043219,0.251201305145854,0.365308066546457,FALSE
"5",8.71698812223188,6.84588245922182,4.72913938176667,2.75800178862715,0.438463239546831,FALSE
"10",2.74599633484071,3.03893913321496,0.807456525386014,0.925159398035426,0.47785470463489,FALSE
"6",6.01987438339036,7.05531411694612,2.8722811823998,3.667769715074,0.519032309279987,FALSE
"12",0.671632065784782,0.720781881890495,0.35261174604167,0.274897463202767,0.561888318080269,FALSE
"11",1.30516477374161,1.45947138386165,0.496946801463164,0.752679407659023,0.699353020560451,FALSE
"4",7.69424781402865,8.17497050805539,2.85187434958215,4.5136782115914,0.747658172580773,FALSE
"7",6.01128787792921,5.20252216294883,3.27008102949936,2.32576054151606,0.747658172580773,FALSE
"8",4.6297822027911,4.85675328134891,1.53387737443298,1.97280053406167,0.846998718515746,FALSE
"9",4.068292439245,4.12758512854246,2.06958076205302,1.96809692186204,0.948729289286565,FALSE
"2",10.9899171849919,10.9104805406198,3.19349124548155,2.30710196703843,1,FALSE
"15",0.273045703713181,0.281333039818218,0.1443866599362,0.155202675167433,1,FALSE
